Ref,Val,Package,PosX,PosY,Rot,Side
"R24","49.9","R_0805_2012Metric",154.100000,-89.300000,0.000000,top
"R25","10k","R_0805_2012Metric",137.700000,-96.187500,90.000000,top
"R26","1M","R_0805_2012Metric",173.800000,-83.900000,-90.000000,top
"R27","27R","R_0805_2012Metric",174.500000,-87.500000,0.000000,top
"R28","10k","R_0805_2012Metric",223.100000,-45.012500,-90.000000,top
"R29","1k","R_0805_2012Metric",172.012500,-72.075000,0.000000,top
"R30","2.4k","R_0805_2012Metric",166.200000,-48.700000,90.000000,top
"R31","2.4k","R_0805_2012Metric",140.700000,-72.600000,180.000000,top
"R32","300R","R_0805_2012Metric",208.000000,-87.100000,-90.000000,top
"R33","300R","R_0805_2012Metric",215.387500,-91.100000,0.000000,top
"R34","300R","R_0805_2012Metric",224.487500,-83.100000,180.000000,top
"R35","2.4k","R_0805_2012Metric",166.200000,-52.100000,-90.000000,top
"R36","10k","R_0805_2012Metric",207.600000,-74.600000,-90.000000,top
"R37","10k","R_0805_2012Metric",149.500000,-70.900000,0.000000,top
"R38","10k","R_0805_2012Metric",207.600000,-60.900000,-90.000000,top
"R39","10k","R_0805_2012Metric",207.600000,-67.612500,90.000000,top
"R40","10k","R_0805_2012Metric",207.600000,-53.900000,90.000000,top
"R41","10k","R_0805_2012Metric",215.200000,-45.000000,-90.000000,top
"R42","2.4k","R_0805_2012Metric",165.600000,-88.400000,90.000000,top
"R43","10k","R_0805_2012Metric",159.000000,-88.400000,90.000000,top
"Rsns1","10k","R_0805_2012Metric",129.912500,-62.700000,0.000000,top
"SW1","Reset","Switch_Tactile_SMD_6x6mm",220.800000,-36.700000,-90.000000,top
"SW2","RotaryEncoder","RotaryEncoder_Alps_EC11E_Vertical_H20mm",210.100000,-68.600000,0.000000,top
"SW3","RotaryEncoder","RotaryEncoder_Alps_EC11E_Vertical_H20mm",210.100000,-54.900000,0.000000,top
"SW4","AC/DC","Switch_Tactile_SMD_6x6mm",212.800000,-36.700000,-90.000000,top
"U1","AMC3330","SOIC-16W_7.5x10.3mm_P1.27mm",131.600000,-84.400000,-90.000000,top
"U2","TEA1-0505","Converter_DCDC_TRACO_TEA1-xxxx_THT",166.310000,-96.682500,-90.000000,top
"U3","TPS259571DSGR","DSG0008A",219.400000,-97.599999,180.000000,top
"U4","ADS8920BRGET","RGE24_2P7X2P7_TEX",153.700000,-74.300000,0.000000,top
"U5","THS4521IDGK","VSSOP-8_3x3mm_P0.65mm",144.200000,-86.500000,90.000000,top
"U6","LTV-356T","SMD-4_4.4x3.85mm_P2.54mm",162.300000,-84.200000,180.000000,top
"U7","REF5045AD","SOIC-8_3.9x4.9mm_P1.27mm",146.400000,-95.900000,0.000000,top
"U8","ATMEGA2560-16AU","TQFP-100_14x14mm",185.800000,-62.400000,0.000000,top
"U9","LTV-356T","SMD-4_4.4x3.85mm_P2.54mm",160.800000,-46.500000,180.000000,top
"U10","FT230XQ","QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm",219.850000,-87.125000,0.000000,top
"U11","LTV-356T","SMD-4_4.4x3.85mm_P2.54mm",160.800000,-51.400000,180.000000,top
"U12","ADuM1401xRW","SOIC-16W_7.5x10.3mm_P1.27mm",160.800000,-60.200000,180.000000,top
"U13","TS5A23159DGS","VSSOP-10_3x3mm_P0.5mm",149.600000,-86.500000,180.000000,top
"Y1","16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",170.500000,-85.350000,-90.000000,top
